4	000000007760771
15	577777600360771
27	703777747770371
32	776000000000171
46	777777770000000
56	777737770000000
74	777777600160771
90	677777776000371
104	576167400000171
105	776160000000071
106	776177400000171
124	777777777700771
132	777777606000031
144	770000003760771
146	774000077777031
147	774777616000371
148	774777716000371
159	777740017760771
160	777777477400001
174	777777037760771
188	770777777777631
222	777774077560771
232	777777760000171
237	777777777700000
238	777777777700171
246	777777777777731
263	777600003760771
267	777700003760771
271	776000000000111
274	777777600000371
332	776707777737071
343	700000007175771
351	777776777600171
354	777777777403731
372	777777752000000
374	777777776000771
379	777741017760771
402	777777600000000
407	000036040003771
